,Species,Farm.Name,Lot.Number,Altitude,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Country.of.Origin
20,Arabica,,,de 1600 a 1950 msnm,275,70 kg,2014,"July 9th, 2014",Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,0,0,0,Green,3,"July 9th, 2015",1
21,Arabica,kassandra,,1400 masl,1,1 kg,2010-2011,"April 6th, 2011",Blue Mountain,,7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,7.08,82.67,0,0,0,,1,"April 5th, 2012",3
22,Arabica,los charcos,,1261,11,2 kg,2015,"July 14th, 2015",Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25,0.12,0,0,Bluish-Green,2,"July 13th, 2016",3
23,Arabica,"arroyo triste, arroyo triste, san jose vista hermosa",,1100,42,1 kg,2012,"September 4th, 2012",Typica,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,81.75,0.11,0,0,Green,1,"September 4th, 2013",3
24,Arabica,rio verde,,1,320,2 kg,2015/2016,"October 8th, 2015",Yellow Bourbon,Natural / Dry,7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,81.25,0,0,0,Green,1,"October 7th, 2016",0
25,Arabica,sitío são geraldo,,1100m,31,60 kg,2012,"February 29th, 2012",Mundo Novo,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,Green,3,"February 28th, 2013",0
26,Arabica,são rafael_ ra/ras certified,2017-003,995,440,59 kg,2017 / 2018,"November 3rd, 2017",Catuai,Natural / Dry,7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,80.25,0.11,0,1,Green,1,"November 3rd, 2018",0
27,Arabica,"la calera, barranca de la leona, el nogal",,1200,60,1 kg,2012,"July 2nd, 2012",Typica,Washed / Wet,7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,82.17,0.1,0,0,Green,1,"July 2nd, 2013",3
28,Arabica,,,1600 m.s.n.m,250,70 kg,4T/2010,"February 1st, 2011",,,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,81.92,0.09,0,0,,1,"February 1st, 2012",1
29,Arabica,,,1350,250,1 kg,2012,"August 2nd, 2012",Caturra,Washed / Wet,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,82.17,0.12,0,0,,2,"August 2nd, 2013",2
30,Arabica,cruz verde,,1000,70,1 kg,2012,"July 11th, 2012",Typica,Washed / Wet,7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,7.25,81.33,0.12,0,0,,4,"July 11th, 2013",3
31,Arabica,,,,275,2 kg,2015,"August 18th, 2015",,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0,0,0,,0,"August 17th, 2016",1
32,Arabica,chapultepec,11/23/0335,3280,130,69 kg,2016,"June 1st, 2016",Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17,0.1,0,0,Green,2,"June 1st, 2017",2
33,Arabica,finca el retiro,,1500,250,1 kg,2012,"June 6th, 2012",Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5,0.11,0,0,,4,"June 6th, 2013",3
34,Arabica,finca muxbal,,1500,302,1 kg,2012,"August 31st, 2012",Bourbon,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,7.25,81.83,0.12,0,0,Green,2,"August 31st, 2013",3
35,Arabica,finca el naranjal,,4540 metros,275,69 kg,2014,"January 28th, 2014",Bourbon,Natural / Dry,7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,80.58,0.11,0,0,Green,5,"January 28th, 2015",2
36,Arabica,chiquimulja / alpha cafe / senfro,,,250,1 kg,2012,"January 25th, 2012",Bourbon,Washed / Wet,7,7.5,7.33,7.17,7.17,7.17,10,10,10,7.33,80.67,0.11,0,0,Green,3,"January 24th, 2013",2
37,Arabica,el aguacate,,1000,12,1 kg,2012,"September 10th, 2012",Bourbon,Washed / Wet,7,7,6.92,7.17,7.17,7.08,10,10,10,6.92,79.25,0.13,0,0,Green,10,"September 10th, 2013",3
38,Arabica,,,1800 msnm,250,70 kg,4T/10,"February 9th, 2011",,,7.25,7.17,7,6.75,7.17,7.33,10,10,10,6.92,79.58,0.1,0,0,,4,"February 9th, 2012",1
39,Arabica,las delicias,11/23/0367,,50,69 kg,2017,"June 1st, 2017",Bourbon,,7.5,7.42,7.25,7.25,7.5,7.25,10,10,10,7.33,81.5,0.12,0,0,Green,0,"June 1st, 2018",2
40,Arabica,,43102245 - P4615,,300,60 kg,2016,"January 12th, 2016",,,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,82.42,0.11,0,1,Green,0,"January 11th, 2017",0
41,Arabica,conquista / morito,,,250,1 kg,2012,"January 13th, 2012",Bourbon,Washed / Wet,7.17,6.17,6.17,7.08,7.33,6.83,10,10,10,7.17,77.92,0.11,0,0,Green,7,"January 12th, 2013",2
42,Arabica,,,1550,250,70 kg,2014,"January 17th, 2014",Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,Green,2,"January 17th, 2015",1
43,Arabica,,,1750 m.s.n.m,250,70 kg,2011,"November 11th, 2011",Caturra,Natural / Dry,7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,81.42,0.11,0,0,Green,0,"November 10th, 2012",1
44,Arabica,rio verde,,1100,320,2 kg,2014/2015,"October 16th, 2014",Bourbon,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25,0.11,0,0,Green,0,"October 16th, 2015",0
45,Arabica,,,1050 - 1850 msnm,250,70 kg,Abril - Julio /2011,"July 19th, 2011",,,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,82.92,0.15,0,0,,0,"July 18th, 2012",1
46,Arabica,,,,1,5 lbs,2013,"August 25th, 2014",,Natural / Dry,7.17,7.25,7.17,7.25,7.42,8.25,10,10,10,7.25,81.75,0.1,0,0,Bluish-Green,1,"August 25th, 2015",0
47,Arabica,,,de 1600 a 1950 msnm,275,70 kg,2015,"August 18th, 2015",Caturra,Washed / Wet,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,0,0,0,Bluish-Green,0,"August 17th, 2016",1
48,Arabica,,,1800,275,70 kg,2013,"July 19th, 2013",Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0,0,0,Green,0,"July 19th, 2014",1
49,Arabica,corta pico,2016-2017-1,1600,50,50 kg,2017,"March 7th, 2017",Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25,0.11,0,0,Blue-Green,0,"March 7th, 2018",3
50,Arabica,rio verde,,1,320,2 kg,2015/2016,"October 8th, 2015",Yellow Bourbon,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17,0,0,0,Green,1,"October 7th, 2016",0
51,Arabica,,,de 1600 a 1950 msnm,50,70 kg,2012,"December 11th, 2012",Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,Green,3,"December 11th, 2013",1
52,Arabica,santa cecilia,,1500,45,1 kg,2013,"March 29th, 2013",Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17,0.11,0,0,Green,2,"March 29th, 2014",3
53,Arabica,finca teocelo,,,10,1 kg,2012,"August 1st, 2012",Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25,0.13,0,0,Green,7,"August 1st, 2013",3
54,Arabica,,,1750,250,70 kg,2012,"February 22nd, 2012",Caturra,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,82.25,0.12,0,0,Green,1,"February 21st, 2013",1
55,Arabica,,,,1,5 lbs,2014,"August 25th, 2014",,Washed / Wet,7,6.75,6.67,6.83,7.08,6.83,10,10,10,6.67,77.83,0.11,0,0,,2,"August 25th, 2015",0
56,Arabica,,3-59-0504,439,300,29 kg,2017 / 2018,"November 9th, 2017",Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,0,0,2,Green,1,"November 9th, 2018",1
57,Arabica,fazenda capoeirnha,019/17,890,320,60 kg,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,81.67,0.11,0,0,Green,5,"October 20th, 2018",0
58,Arabica,rio verde,,1200,300,2 kg,2014/2015,"October 16th, 2014",Bourbon,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,83.08,0,0,0,Green,1,"October 16th, 2015",0
59,Arabica,various,,1300,400,1 kg,2013,"March 29th, 2013",Bourbon,Washed / Wet,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,7.17,79.92,0.12,0,0,Green,4,"March 29th, 2014",3
60,Arabica,piamonte,11/23/0639,1700,50,69 kg,2017,"September 8th, 2017",Bourbon,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,82.42,0.1,0,1,Green,2,"September 8th, 2018",2
61,Arabica,fazenda são pedro,0063/17,982,320,2 kg,2016,"February 9th, 2017",Catuai,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,0.11,0,3,Green,11,"February 9th, 2018",0
62,Arabica,fazenda são josé mirante,14,695,500,60 kg,2016,"June 21st, 2017",Mundo Novo,Natural / Dry,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,81.08,0.11,5,0,Green,8,"June 21st, 2018",0
63,Arabica,el delirio,,1450,53,1 kg,2012,"August 30th, 2012",Typica,Washed / Wet,7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,79.17,0.14,0,0,Green,34,"August 30th, 2013",3
64,Arabica,,,1483,250,70 kg,2014,"June 24th, 2014",Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25,0,0,0,Green,0,"June 24th, 2015",1
65,Arabica,el faro,,,250,1 kg,2012,"March 26th, 2012",Bourbon,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10,10,10,7.17,82,0.11,0,0,Green,3,"March 26th, 2013",2
66,Arabica,fazendas klem ltda,KLEM-C04,1100,1062,5 kg,,"November 15th, 2017",Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,0.09,2,6,Green,10,"November 15th, 2018",0
67,Arabica,finca los barreales 1112lban,,1170,10,1 kg,2012,"August 31st, 2012",Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5,0.13,0,0,Green,14,"August 31st, 2013",3
68,Arabica,,,1800 mts,40,1 kg,2013,"January 20th, 2014",Typica,Natural / Dry,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,82.83,0,4,0,Green,4,"January 20th, 2015",1
69,Arabica,canoa manzanillo,,1000,20,1 kg,2012,"August 1st, 2012",Typica,Semi-washed / Semi-pulped,7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,7.25,81.5,0.11,0,0,Green,6,"August 1st, 2013",3
70,Arabica,,3-37-0059,,230,70 kg,2016,"November 8th, 2016",Caturra,Washed / Wet,7.5,7.33,7.33,7.17,7.33,7.42,10,10,10,7.25,81.33,0,0,0,,0,"November 8th, 2017",1
71,Arabica,,,1750 msnm,250,70 kg,2013,"August 2nd, 2013",Caturra,Washed / Wet,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,83,0,0,0,Green,0,"August 2nd, 2014",1
72,Arabica,naranjal,,700,10,1 kg,2012,"September 27th, 2012",Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75,0.13,5,0,,5,"September 27th, 2013",3
73,Arabica,beneficio el torreon,11/23/0673,1901,275,69 kg,2017,"August 24th, 2017",Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17,0.1,0,0,Green,1,"August 24th, 2018",2
74,Arabica,various,,4000 p.s.n.m,275,69 kg,2014,"February 7th, 2014",Other,Washed / Wet,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,78,0.1,1,0,Green,2,"February 7th, 2015",2
75,Arabica,el encanto,,950,30,1 kg,2012,"September 17th, 2012",Typica,Washed / Wet,7,7,6.83,7.33,7.42,6.92,10,10,10,6.83,79.33,0.14,0,0,,23,"September 17th, 2013",3
76,Arabica,ojo de agua,,1000,250,1 kg,2012,"June 6th, 2012",Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.12,0,0,,2,"June 6th, 2013",3
77,Arabica,el morito,,5000 ft.,250,69 kg,2014,"June 10th, 2014",Pacas,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33,0.12,0,0,Green,3,"June 10th, 2015",2
78,Arabica,casa blanca,,1100,127,1 kg,2012,"July 11th, 2012",Typica,Washed / Wet,7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,7,79.5,0.12,0,0,Bluish-Green,5,"July 11th, 2013",3
79,Arabica,"zaragoza, montelibano, pamal navil",,1200,100,1 kg,2012,"September 12th, 2012",Mundo Novo,Washed / Wet,7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,6.58,75.17,0.11,0,0,Green,20,"September 12th, 2013",3
80,Arabica,agua de la mariposa,,1400,11,1 kg,2012,"September 17th, 2012",Typica,Washed / Wet,7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,6.75,76.17,0.16,2,0,,4,"September 17th, 2013",3
81,Arabica,fazenda serra negra,,1000m,39,60 kg,2012,"May 8th, 2014",Catuai,Semi-washed / Semi-pulped,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42,0.12,0,0,Blue-Green,1,"May 8th, 2015",0
82,Arabica,,,1800 msnm,250,70 kg,4T/10,"February 9th, 2011",,,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,82.67,0.08,0,0,,3,"February 9th, 2012",1
83,Arabica,la castellana,,4300,250,69 kg,2013,"June 6th, 2013",Bourbon,Washed / Wet,6.5,6.33,6.5,7.5,7.33,6.83,8.67,10,8.67,6,74.33,0.11,1,0,Green,1,"June 6th, 2014",2
84,Arabica,,,1700 msnm,270,70 kg,2013,"June 21st, 2013",Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,0.11,0,0,Green,1,"June 21st, 2014",1
85,Arabica,finca cuetzalingo,,900,48,1 kg,2012,"July 3rd, 2012",Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,0.12,10,0,Blue-Green,32,"July 3rd, 2013",3
86,Arabica,las merceditas,11/23/0693,1700,50,69 kg,2017,"August 23rd, 2017",Bourbon,Washed / Wet,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,79.08,0.1,0,0,Green,1,"August 23rd, 2018",2
87,Arabica,são francisco da serra,,950m,100,60 kg,2012,"February 17th, 2012",Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17,0.11,0,0,Green,4,"February 16th, 2013",0
88,Arabica,various,,1200 m,250,6,08/09 crop,"April 9th, 2010",Typica,,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,6.92,79.17,0.01,0,0,,8,"April 9th, 2011",3
89,Arabica,capoeirinha,259/15,905,320,60 kg,2015,"February 6th, 2017",Yellow Bourbon,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,82.83,0.11,0,2,Bluish-Green,2,"February 6th, 2018",0
90,Arabica,la esperanza y anexos,11/23/0178,,50,69 kg,2016,"April 27th, 2016",Bourbon,Washed / Wet,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08,0.1,0,0,Green,4,"April 27th, 2017",2
91,Arabica,fazenda kaquend,,1250m,7,60 kg,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,Blue-Green,2,"December 2nd, 2012",0
92,Arabica,,,1750 msnm,250,70 kg,2012,"October 19th, 2012",Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,0,0,0,Green,2,"October 19th, 2013",1
93,Arabica,rio verde,,1200,300,2 kg,2014/2015,"October 17th, 2014",Bourbon,Semi-washed / Semi-pulped,7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,80.58,0,0,0,Green,3,"October 17th, 2015",0
94,Arabica,rio verde,,1100,10,2 kg,2014/2015,"October 15th, 2014",Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,0.11,0,0,Blue-Green,0,"October 15th, 2015",0
95,Arabica,el pino,,1100,200,1 kg,2013,"July 15th, 2014",Other,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,82.17,0.12,0,0,Green,0,"July 15th, 2015",3
96,Arabica,santa maria,,,300,60 kg,2014/2015,"December 16th, 2014",Catuai,Natural / Dry,6.83,7,6.92,7.08,6.92,6.83,10,10,10,6.83,78.42,0.12,3,0,Green,4,"December 16th, 2015",0
97,Arabica,pereira estate coffee,,1250,300,60 kg,2013,"April 17th, 2014",Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,80.5,0.1,0,0,,10,"April 17th, 2015",0
98,Arabica,finca quequesquez,,1450,250,1 kg,2012,"August 20th, 2012",Caturra,Washed / Wet,7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,7.25,81.17,0.12,0,0,Green,4,"August 20th, 2013",2
99,Arabica,santa cruz - pante doña graciela,,1650,28,1 kg,2012,"June 6th, 2012",Typica,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,7.33,81.75,0.12,0,0,,1,"June 6th, 2013",3
100,Arabica,la victoria pante nubes,,1210,15,1 kg,2012,"August 30th, 2012",Catuai,Semi-washed / Semi-pulped,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,80.83,0.13,0,0,Green,7,"August 30th, 2013",3
101,Arabica,valparaiso,,5000,150,1 kg,2012,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,Green,3,"July 3rd, 2013",2
102,Arabica,,,1600 msnm,250,70 kg,4T/10,"February 9th, 2011",,,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75,0.06,0,0,,1,"February 9th, 2012",1
103,Arabica,,,de 1600 a 1950 msnm,252,70 kg,2015,"October 26th, 2015",Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,Green,1,"October 25th, 2016",1
104,Arabica,,,1600 a 1900 msnm,75,70 kg,2013,"December 6th, 2013",Caturra,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,0,0,0,,5,"December 6th, 2014",1
105,Arabica,,,1550,250,70 kg,2013,"December 20th, 2013",Caturra,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,0,0,0,,0,"December 20th, 2014",1
106,Arabica,el papaturro,,4000 psnm,250,69 kg,2014,"August 21st, 2014",Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,0.1,0,0,Green,1,"August 21st, 2015",2
107,Arabica,,3-59-1919,1000,250,70 kg,2016,"April 7th, 2016",Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,0,0,0,Green,0,"April 7th, 2017",1
108,Arabica,agropecuaria quiagral,,4300,250,1 kg,2012,"May 23rd, 2012",Bourbon,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33,0.1,2,0,Green,5,"May 23rd, 2013",2
109,Arabica,,,1550 msnm,250,70 kg,2013,"June 21st, 2013",Caturra,Washed / Wet,7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,7.5,79.5,0,0,0,Green,2,"June 21st, 2014",1
110,Arabica,la joya,,1100,10,1 kg,2012,"September 12th, 2012",Pacamara,Washed / Wet,7.5,7.25,6.92,7,7.17,6.83,8,8,10,6.83,75.5,0.11,4,0,Green,20,"September 12th, 2013",3
111,Arabica,la corralera,,1400,15,1 kg,2012,"July 11th, 2012",Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5,0.12,0,0,Green,0,"July 11th, 2013",3
112,Arabica,various,,4000 psnm,250,69 kg,2014,"September 4th, 2014",Other,Washed / Wet,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,78.58,0.12,0,0,Green,3,"September 4th, 2015",2
113,Arabica,,,1300,14,1 kg,2012,"September 17th, 2012",Mundo Novo,Natural / Dry,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,79,0.12,0,0,,12,"September 17th, 2013",3
114,Arabica,,,940,10,1 kg,2012,"August 30th, 2012",Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5,0.11,0,0,Green,12,"August 30th, 2013",3
115,Arabica,union ramal santa cruz,,1400,310,1 kg,2013,"March 29th, 2013",Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,81.67,0.12,0,0,Green,6,"March 29th, 2014",3
116,Arabica,los encinos,,1350,10,1 kg,2012,"June 6th, 2012",Bourbon,Washed / Wet,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,7,78.75,0.12,0,0,,0,"June 6th, 2013",3
117,Arabica,el chile,,1300 a 1800 metros sobre el nivel del mar,275,69 kg,2015,"July 8th, 2015",Catuai,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,83,0.11,0,0,Green,3,"July 7th, 2016",2
118,Arabica,santa fé 2,,900,300,60 kg,2015,"May 26th, 2015",Catuai,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,82.83,0.12,2,0,Green,6,"May 25th, 2016",0
